Geneid	hpa_256_tiss_ntpmtau	gtex_db_tissuegini	Total_utr_3_len	tss_dis	TF_motif_total_exons	rna_motif_total_gene_norm_len_cv	utr3_mirna_count	exon_cs_mean	tss_500bp_cs_median	V_codon_bias_sum	P_codon_bias_max	Y_codon_bias_max	A_codon_bias_median	cds_len	AT_cds_pct	AT_intron_pct	AT_tss_3kb_PTG_pct	GC_tss_4kb_PTG_pct
ENSG00000000003	0.8803	0.4868	2919.0	52169.0	5272.0	1.9971249127392312	5919.0	2.338843285714286	0.362	8.0	1.0	3.0	2.0	390.0	0.6230769230769231	0.5841935483870968	0.9119258750604547	1.1317230559905995
ENSG00000000005	0.9909	0.8743	169.0	174662.0	1264.0	1.3836914961685784	288.0	2.821628571428572	1.238	20.0	8.0	9.0	2.5	954.0	0.5807127882599581	0.5935249181520553	1.055030649301823	0.957363136190181
ENSG00000000419	0.242084726	0.202598216	0.0	51595.0	4924.0	1.964182839599196	147.0	3.100137166666667	-0.01							0.6047724512395514	0.9197802531120332	1.074385086380231
ENSG00000000457	0.7152	0.2812	4083.0	98488.0	12333.0	1.8874683038844688	4472.0	2.9814554615384616		26.0	10.0	7.0	6.0	2067.0	0.5495887760038703	0.6007429263923284	0.8792164010200119	1.1436501604180465
ENSG00000000460	0.934	0.4048	1094.0	501.0	7152.0	2.1280659935677253	1555.0	2.287400708333333		50.0	17.0	11.0	9.0	2562.0	0.5792349726775956	0.6331167037943922	0.9235445607348496	1.083485317150222
ENSG00000000938	0.9451	0.7823	851.0	31553.0	2836.0	1.9053479217649256	3406.0	3.2136351538461536	0.008	60.0	12.0	1.0	9.0	1590.0	0.4132075471698113	0.4762509153038808	0.9155986631004388	1.0543458590948072
ENSG00000000971	0.987	0.6564	0.0	68492.0	7981.0	1.2553386272885212	455.0	0.3732404875								0.646020902852106	1.0539347806731207	0.938166353047914
ENSG00000001036	0.9055	0.3188	896.0	60916.0	7092.0	1.749456827299865	335.0	2.6698340000000003	-0.17	25.0	25.0	5.0	3.0	1404.0	0.5170940170940171	0.6101624896722666	0.9108492087006906	1.1582313011013774
ENSG00000001084	0.8834	0.2994	1416.0	195922.0	7137.0	1.7809000735962055	1748.0	4.3835925	0.084	55.0	8.0	11.0	5.0	1914.0	0.5506792058516197	0.5952110241950155	0.8742115816696354	1.2006326746875358
ENSG00000001167	0.6987	0.2773	4994.0	382.0	17349.0	1.6530371229583356	4719.0	4.5864926	0.7805	36.0	9.0	3.0	9.0	1044.0	0.4664750957854406	0.6081994746134964	0.8567279850621774	1.1682784016449952
ENSG00000001460	0.685	0.3875	0.0	1132.0	13110.0	1.7748970031596625	6347.0	0.8551905	0.1045							0.5677746039989613	0.9020571570253068	1.1271298614014016
ENSG00000001497	0.4277	0.3098	0.0	46053.0	11103.0	2.154397434305917	430.0	1.6273952727272727	0.137							0.5003079028395484	1.0599383740354935	0.921048974136914
ENSG00000001561	0.6592	0.3348	3049.0	49640.0	5296.0	1.1172847368264758	901.0	1.5023995	-0.13	27.0	12.0	11.0	3.0	1362.0	0.6152716593245228	0.6332116788321168	0.8814660283697768	1.1804036147761725
ENSG00000001617	0.9071	0.5808	961.0	66361.0	3960.0	1.7013600300415614	3318.0	2.805419736842105	0.251	52.0	27.0	24.0	10.0	2358.0	0.3850720949957591	0.4294907944932825	0.9275756038399292	1.0447034887095896
ENSG00000001626	0.9935	0.917	1558.0	52526.0	8080.0	1.4457547662413022	803.0	3.6882546666666665	0.25	90.0	20.0	22.0	16.0	4443.0	0.5847400405131667	0.642944388758346	0.9672638333936572	1.0400317414709124
ENSG00000001629	0.7789	0.2144	2435.0	49.0	12408.0	1.97486287539429	481.0	4.76854285	0.3605	41.0	30.0	20.0	19.0	3270.0	0.5507645259938838	0.6342188233715704	0.9052862240403344	1.1415815869814725
ENSG00000001630	0.8513	0.4023	1513.0	193600.0	9526.0	1.7383965323758432	1823.0	3.7294007	-0.019	24.0	14.0	6.0	3.0	1530.0	0.5568627450980392	0.6267083985393844	0.8559474966260059	1.2203085515422507
ENSG00000001631	0.6711	0.2457	1768.0	127.0	12087.0	1.7730150436239345	3471.0	3.76606423	0.343	36.0	11.0	22.0	5.0	2211.0	0.6178199909543193	0.6381637951380694	0.8965519138872005	1.154432968332421
ENSG00000002016	0.5363	0.289	1656.0	196772.0	4277.0	3.157835775498674	3049.0	2.272375733333333	-0.2065	37.0	8.0	2.0	6.0	1257.0	0.4645982498011137	0.5432505152278452	0.9473427517009926	1.0547410484110595
ENSG00000002330	0.300316278	0.059074181	380.0	33093.0	2710.0	2.7480069677590224	943.0	0.7508906666666667	0.201	12.0	6.0	0.0	8.5	507.0	0.3293885601577909	0.4722771552039845	0.8594170408221169	1.10811530446023
ENSG00000002549	0.8063	0.301	382.0	62033.0	3995.0	2.3265161134950647	26.0	3.5781062846153846	-0.047	34.0	10.0	6.0	13.0	1560.0	0.5019230769230769	0.5621761658031088	0.8953732831801483	1.0971038188166962
ENSG00000002586	0.260967182	0.242381867	0.0	190349.0	1876.0	2.1397435405946448	3515.0	-0.1343605	-0.2665							0.5180046968774463	0.8577159695312783	1.1145622148480492
ENSG00000002587	0.913	0.6555	5933.0	744126.0	9763.0	1.5730268388992363	2299.0	0.446559	0.022	43.0	5.0	0.0	6.0	924.0	0.3971861471861472	0.5711387091131712	0.8728375321900355	1.105905097122538
ENSG00000002726	0.9929	0.9551	296.0	22571.0	3901.0	1.6319692179193326	344.0	0.9922614285714288	-0.141	53.0	36.0	23.0	6.0	2256.0	0.3927304964539007	0.5330883442491776	1.0563196996966748	0.9240506829149312
ENSG00000002745	0.9947	0.7322	1760.0	340289.0	4427.0	1.285540582127371	971.0	1.8342455	0.2035	18.0	4.0	5.0	5.0	1098.0	0.4644808743169399	0.6476828587381351	0.7874963352453253	1.3558798546455495
ENSG00000002746	0.943	0.8005	4076.0	180271.0	15659.0	1.5261074539424595	1531.0	4.3507332666666665	0.335	77.0	39.0	37.0	20.0	4821.0	0.4378759593445343	0.5810133768264166	0.8756989029749057	1.0955670116510778
ENSG00000002822	0.6909	0.2406	277.0	545125.0	6572.0	1.6447271209703676	1410.0	2.15809047368421	-0.272	56.0	22.0	1.0	11.0	2157.0	0.3834028743625405	0.4439618876656074	1.0772350128140964	0.9311586817251376
ENSG00000002834	0.240709114	0.202362837	2992.0	16094.0	10443.0	2.3796874694113352	4878.0	2.9051223333333334	0.199	12.0	4.0	9.0	1.5	618.0	0.3867313915857605	0.4661919478783829	0.9481214311945666	1.0143889094331984
ENSG00000002919	0.4237	0.2208	2094.0	6567.0	4002.0	3.864954283841477	11887.0	3.0508171428571424	-0.0035	23.0	9.0	3.0	5.0	813.0	0.4809348093480934	0.5285736530675802	1.020144478244037	0.9984550066993044
ENSG00000002933	0.9601	0.5786	0.0	695.0	3020.0	1.771879577094324	261.0	-0.198465	-0.1835							0.4859154929577465	0.7366335912634855	1.2035016073117668
ENSG00000003056	0.19827918	0.197128731	1458.0	35137.0	5277.0	1.8495825427150592	2716.0	2.3438735714285714	0.004	25.0	8.0	4.0	5.0	834.0	0.5023980815347722	0.5920994879297732	0.9678034548954584	0.9939664809612212
ENSG00000003096	0.882	0.5144	1095.0	1484966.0	5786.0	1.4335435672895387	1861.0	4.280464833333333	0.3875	33.0	8.0	3.0	4.0	1815.0	0.5559228650137741	0.650899593731863	1.00579033071571	0.9991745890457804
ENSG00000003137	0.9065	0.6296	2990.0	694302.0	5991.0	1.2402960946990644	6801.0	3.296273333333333	0.811	46.0	13.0	1.0	18.0	1539.0	0.3703703703703703	0.3897220840145	0.9342550347418996	1.0265610502784237
